Camera Name,Count (Professional Cameras),Count (Non-professional Cameras),Tag Name,Count (Professional Tags),Count (Non-professional Tags)
FUJIFILM X-Pro2,13,25,,0,0
HUAWEI ALP-L29,1,0,,0,0
FUJIFILM X70,6,3,,0,0
SONY DSC-H7,5,11,,0,0
PENTAX PENTAX K-7,12,16,,0,0
Canon PowerShot SX400 IS,3,6,,0,0
SAMSUNG NX500,2,5,,0,0
samsung SM-G930F,9,10,,0,0
samsung SCH-I545,2,0,,0,0
FUJIFILM FinePix S1500,3,7,,0,0
Canon PowerShot A480,4,4,,0,0
SONY DSC-P100,5,4,,0,0
NIKON CORPORATION Z 6,9,14,,0,0
Canon EOS 10D,15,27,,0,0
Hipstamatic 340,1,1,,0,0
NIKON COOLPIX S7000,4,4,,0,0
samsung SM-J710F,1,1,,0,0
samsung SM-A525F,1,0,,0,0
NIKON CORPORATION D4S,14,7,,0,0
HUAWEI LYA-L29,1,0,,0,0
Canon PowerShot G11,20,34,,0,0
SONY DSC-W170,2,4,,0,0
Ltd. DiMAGE 7,1,0,,0,0
Apple iPhone SE (1st generation),1,2,,0,0
Canon PowerShot S90,8,17,,0,0
Canon PowerShot S40,2,2,,0,0
FUJIFILM FinePix S8000fd,8,6,,0,0
NIKON COOLPIX L110,9,12,,0,0
OLYMPUS IMAGING CORP. E-520,8,18,,0,0
Canon PowerShot G7 X Mark II,9,10,,0,0
Canon EOS R7,2,0,,0,0
FUJIFILM FinePix S4500,5,2,,0,0
SONY DSC-S40,2,5,,0,0
FUJIFILM FinePix S8100fd,1,6,,0,0
FUJIFILM FinePix S9200 S9250 S9150,1,3,,0,0
Canon DIGITAL IXUS 950 IS,2,3,,0,0
SONY DSC-HX100V,9,13,,0,0
samsung SM-G950U1,1,0,,0,0
PENTAX PENTAX Optio VS20,1,0,,0,0
Canon DIGITAL IXUS 50,5,5,,0,0
Canon EOS-1DS,3,3,,0,0
OLYMPUS IMAGING CORP. E-P2,4,2,,0,0
Panasonic DMC-GF2,3,3,,0,0
Microsoft Lumia 535 Dual SIM,1,0,,0,0
HUAWEI HUAWEI LYO-L21,1,0,,0,0
